card_name,card_id,image_id,image_index,image_url,filename,status
Celestial Sword - Eatos,55569674,55569674,1,https://images.ygoprodeck.com/images/cards/55569674.jpg,55569674-celestial-sword-eatos.jpg,downloaded
Celestial Observatory,67378104,67378104,1,https://images.ygoprodeck.com/images/cards/67378104.jpg,67378104-celestial-observatory.jpg,downloaded
Celestial Knightlord Parshath,48589580,48589580,1,https://images.ygoprodeck.com/images/cards/48589580.jpg,48589580-celestial-knightlord-parshath.jpg,downloaded
Celestial Transformation,28890974,28890974,1,https://images.ygoprodeck.com/images/cards/28890974.jpg,28890974-celestial-transformation.jpg,downloaded
"Celestial Wolf Lord, Blue Sirius",32995007,32995007,1,https://images.ygoprodeck.com/images/cards/32995007.jpg,32995007-celestial-wolf-lord-blue-sirius.jpg,downloaded
Cell Explosion Virus,84491298,84491298,1,https://images.ygoprodeck.com/images/cards/84491298.jpg,84491298-cell-explosion-virus.jpg,downloaded
Celtic Guard of Noble Arms,45531624,45531624,1,https://images.ygoprodeck.com/images/cards/45531624.jpg,45531624-celtic-guard-of-noble-arms.jpg,downloaded
Celtic Guardian,91152256,91152256,1,https://images.ygoprodeck.com/images/cards/91152256.jpg,91152256-celtic-guardian.jpg,downloaded
Celtic Guardian,91152256,91152257,2,https://images.ygoprodeck.com/images/cards/91152257.jpg,91152257-alt2-celtic-guardian.jpg,downloaded
Cemetary Bomb,51394546,51394546,1,https://images.ygoprodeck.com/images/cards/51394546.jpg,51394546-cemetary-bomb.jpg,downloaded
Celtic Guardian,91152256,91152258,3,https://images.ygoprodeck.com/images/cards/91152258.jpg,91152258-alt3-celtic-guardian.jpg,downloaded
Centaur Mina,33129626,33129626,1,https://images.ygoprodeck.com/images/cards/33129626.jpg,33129626-centaur-mina.jpg,downloaded
Centerfrog,47346782,47346782,1,https://images.ygoprodeck.com/images/cards/47346782.jpg,47346782-centerfrog.jpg,downloaded
Centrifugal Field,1801154,1801154,1,https://images.ygoprodeck.com/images/cards/1801154.jpg,1801154-centrifugal-field.jpg,downloaded
Centur-Ion Atrii,96030710,96030710,1,https://images.ygoprodeck.com/images/cards/96030710.jpg,96030710-centur-ion-atrii.jpg,downloaded
Centur-Ion Bonds,4160316,4160316,1,https://images.ygoprodeck.com/images/cards/4160316.jpg,4160316-centur-ion-bonds.jpg,downloaded
Centur-Ion Auxila,71858682,71858682,1,https://images.ygoprodeck.com/images/cards/71858682.jpg,71858682-centur-ion-auxila.jpg,downloaded
Centur-Ion Gargoyle II,97698279,97698279,1,https://images.ygoprodeck.com/images/cards/97698279.jpg,97698279-centur-ion-gargoyle-ii.jpg,downloaded
Centur-Ion Chimerea,81696879,81696879,1,https://images.ygoprodeck.com/images/cards/81696879.jpg,81696879-centur-ion-chimerea.jpg,downloaded
Centur-Ion Legatia,15982593,15982593,1,https://images.ygoprodeck.com/images/cards/15982593.jpg,15982593-centur-ion-legatia.jpg,downloaded
Centur-Ion Phalanx,40155014,40155014,1,https://images.ygoprodeck.com/images/cards/40155014.jpg,40155014-centur-ion-phalanx.jpg,downloaded
Centur-Ion Emeth VI,78888899,78888899,1,https://images.ygoprodeck.com/images/cards/78888899.jpg,78888899-centur-ion-emeth-vi.jpg,downloaded
Centur-Ion Primera,15005145,15005145,1,https://images.ygoprodeck.com/images/cards/15005145.jpg,15005145-centur-ion-primera.jpg,downloaded
